shop,Name of the medicine to be used by persons,no. of pdts that are available,timestamp,update_id
S001,Paracetamol 500mg,100,2024-01-15T08:00:00+05:30,DLQ-001
S001,Paracetamol 500mg,120,2024-01-15T09:30:00+05:30,DLQ-002
S002,Ibuprofen 400mg,50,2024-01-15T08:15:00+05:30,DLQ-003
S001,Amoxicillin 250mg,30,2024-01-15T08:45:00+05:30,DLQ-004
S003,Aspirin 100mg,200,2024-01-15T09:00:00+05:30,DLQ-005
S002,Paracetamol 500mg,80,2024-01-15T09:45:00+05:30,DLQ-006
S003,Metformin 500mg,150,2024-01-15T10:00:00+05:30,DLQ-007
S001,Ibuprofen 400mg,45,2024-01-15T10:15:00+05:30,DLQ-008
S002,Amoxicillin 250mg,60,2024-01-15T10:30:00+05:30,DLQ-009
S004,Aspirin 100mg,175,2024-01-15T10:45:00+05:30,DLQ-010
S004,Paracetamol 500mg,90,2024-01-15T11:00:00+05:30,DLQ-011
S003,Ibuprofen 400mg,55,2024-01-15T11:15:00+05:30,DLQ-012
S004,Metformin 500mg,220,2024-01-15T11:30:00+05:30,DLQ-013
S002,Aspirin 100mg,95,2024-01-15T11:45:00+05:30,DLQ-014
S001,Metformin 500mg,70,2024-01-15T12:00:00+05:30,DLQ-015
S003,Amoxicillin 250mg,40,2024-01-15T12:15:00+05:30,DLQ-016
S004,Ibuprofen 400mg,130,2024-01-15T12:30:00+05:30,DLQ-017
S002,Metformin 500mg,110,2024-01-15T12:45:00+05:30,DLQ-018
S001,Aspirin 100mg,85,2024-01-15T13:00:00+05:30,DLQ-019
S003,Paracetamol 500mg,160,2024-01-15T13:15:00+05:30,DLQ-020
